prediction,true_label,gender,age_group,race,education,income_level,years_experience,location,department,prediction_confidence,feature_communication,feature_leadership,feature_technical,feature_problem_solving,feature_teamwork
1,1,Male,29-34,Hispanic,Bachelor,77000,4,San Antonio,Operations,0.86,7.9,7.7,7.9,8.1,8.3
0,1,Female,27-32,Black,Bachelor,63000,3,Memphis,Marketing,0.47,9.1,7.5,6.3,8.2,8.9
1,1,Male,31-36,White,Master,90000,8,New York,Engineering,0.94,7.0,8.2,9.2,8.9,7.5
0,0,Female,28-33,Asian,Bachelor,72000,5,San Jose,Sales,0.25,8.6,7.8,7.0,8.0,8.7
1,0,Male,25-30,Hispanic,High School,56000,2,Las Vegas,Operations,0.68,7.8,6.5,6.1,7.5,7.6
0,0,Female,34-39,Black,Master,75000,7,Baltimore,Product,0.30,8.5,8.6,7.1,8.4,9.2
1,1,Male,30-35,Asian,PhD,97000,6,San Francisco,Engineering,0.95,6.9,7.6,9.9,9.4,7.3
0,1,Female,26-31,White,Bachelor,68000,3,Columbus,Marketing,0.43,8.7,7.9,6.4,8.1,8.8
1,1,Male,32-37,Hispanic,Master,83000,5,Miami,Engineering,0.89,7.4,8.1,8.7,8.6,7.9
0,0,Female,29-34,Black,Bachelor,66000,4,Charlotte,Sales,0.27,8.9,7.2,6.5,7.9,8.6
1,0,Male,27-32,White,Bachelor,80000,6,Philadelphia,Product,0.72,7.7,8.0,7.8,8.3,8.0
0,0,Female,33-38,Asian,Master,89000,8,Seattle,Engineering,0.31,8.1,8.9,8.3,8.7,8.8
1,1,Male,28-33,Hispanic,Bachelor,76000,3,Phoenix,Operations,0.87,7.6,7.4,7.3,8.2,8.1
0,1,Female,25-30,Black,Bachelor,62000,2,Indianapolis,Marketing,0.45,9.0,7.7,6.2,8.0,8.7
1,1,Male,31-36,White,Master,91000,7,Boston,Engineering,0.92,7.2,8.3,9.1,8.8,7.4
